Compound,acceptorcount,accsitecount,Aliphatic ring count,Aromatic atom count,Aromatic ring count,ASA,ASA+,ASA-,ASA_H,ASA_P,ASA.1,ASA+.1,ASA-.1,ASA_H.1,ASA_P.1,ASA.2,ASA+.2,ASA-.2,ASA_H.2,ASA_P.2,ASA.3,ASA+.3,ASA-.3,ASA_H.3,ASA_P.3,ASA.4,ASA+.4,ASA-.4,ASA_H.4,ASA_P.4,Atom count (C),Atom count (N),molecular,Balaban index,Bond count,Carboaliphatic ring count,Carboaromatic ring count,Carbo ring count,Chain atom count,Chiral center count,Cyclomatic number,donorcount,donsitecount,Heteroaliphatic ring count,Hyper wiener index,Largest ring size,Length perpendicular to the max area,Length perpendicular to the min area,Maximal projection area,Maximal projection radius,Length perpendicular to the max area.1,Minimal projection area,Minimal projection radius,Length perpendicular to the min area.1,molecular.1,Polar surface area,Refractivity,Ring atom count,Rotatable bond count,Smallest ring size,Van der Waals surface area (3D),van der Waals volume,Wiener index,Wiener polarity,Molecular weight,Exact molecular weight,Aliphatic atom count,Heteroaromatic ring count,acceptorcount.1,acceptorcount.2,donorcount.1,donorcount.2,ASA+.5,ASA+.6,Van der Waals surface area (3D).1,Van der Waals surface area (3D).2,ASA+.7,ASA+.8,Van der Waals surface area (3D).3,Van der Waals surface area (3D).4,Polar surface area.1,Polar surface area.2,Polar surface area.3,Polar surface area.4
NCc1ccc(N)cc1,2,2,0,6,1,287.38,201.67,85.71,169.98,117.4,287.38,201.67,85.71,169.98,117.4,287.38,201.67,85.71,169.98,117.4,287.38,201.67,85.71,169.98,117.4,287.38,201.67,85.71,169.98,117.4,7,2,13.78,1.94,19,0,1,1,3,0,1,2,4,0,187,6,4.73,10.11,46.2,5.05,4.73,23.68,3.5,10.11,14.86,52.04,39.23,6,1,6,197.12,121.89,90,9,122.171,122.08439833,3,0,2,1,2,2,201.67,220.22,197.12,202.04,201.67,220.22,197.12,202.04,52.04,53.66,52.04,53.66
CC(CN)CCCN,2,2,0,0,0,314.98,238.37,76.61,294.1,20.88,314.98,238.37,76.61,294.1,20.88,314.98,238.37,76.61,294.1,20.88,314.98,238.37,76.61,294.1,20.88,314.98,238.37,76.61,294.1,20.88,6,2,14.87,2.86,23,0,0,0,8,1,0,2,4,0,170,0,5.41,10.67,48.37,5.34,5.41,26.26,3.43,10.67,14.86,52.04,36.45,0,4,0,242.96,137.18,76,6,116.208,116.13134852299999,8,0,2,0,2,2,238.37,248.35,242.96,252.57,238.37,248.35,242.96,252.57,52.04,55.28,52.04,55.28
CCC(C)N,1,1,0,0,0,258.67,192.09,66.58,250.48,8.2,258.67,192.09,66.58,250.48,8.2,258.67,192.09,66.58,250.48,8.2,258.67,192.09,66.58,250.48,8.2,258.67,192.09,66.58,250.48,8.2,4,1,9.52,2.54,15,0,0,0,5,1,0,1,2,0,28,0,5.2,7.89,33.74,4.0,5.2,21.86,3.09,7.89,9.65,26.02,23.61,0,1,0,166.67,91.1,18,2,73.139,73.089149358,5,0,1,0,1,1,192.09,187.23,166.67,171.79,192.09,187.23,166.67,171.79,26.02,27.64,26.02,27.64
c1ccc(nc1)-c1ccccn1,2,2,0,12,2,349.64,282.62,67.02,323.63,26.01,349.64,282.62,67.02,323.63,26.01,349.64,282.62,67.02,323.63,26.01,349.64,282.62,67.02,323.63,26.01,349.64,282.62,67.02,323.63,26.01,10,2,16.8,1.66,21,0,0,0,0,0,2,0,0,0,477,6,5.31,11.33,52.73,5.71,5.31,26.28,3.35,11.33,19.58,25.78,46.14,12,1,6,228.61,143.98,198,14,156.188,156.068748266,0,2,2,2,0,0,282.62,282.62,228.61,228.61,282.62,282.62,228.61,228.61,25.78,25.78,25.78,25.78
NC1CCCCC1N,2,2,1,0,0,237.01,191.46,45.55,223.42,13.59,237.01,191.46,45.55,223.42,13.59,237.01,191.46,45.55,223.42,13.59,237.01,191.46,45.55,223.42,13.59,237.01,191.46,45.55,223.42,13.59,6,2,13.71,2.28,22,1,0,1,2,2,1,2,4,0,106,6,5.46,7.86,43.33,4.14,5.46,29.05,3.86,7.86,14.12,52.04,33.95,6,0,6,210.9,125.89,60,8,114.19200000000001,114.115698459,8,0,2,0,2,2,191.46,206.88,210.9,221.23,191.46,206.88,210.9,221.23,52.04,55.28,52.04,55.28
CCN(CC)CCCC(C)N,2,2,0,0,0,432.9,328.12,104.78,421.37,11.53,432.9,328.12,104.78,421.37,11.53,432.9,328.12,104.78,421.37,11.53,432.9,328.12,104.78,421.37,11.53,432.9,328.12,104.78,421.37,11.53,9,2,20.93,3.21,32,0,0,0,11,1,0,1,2,0,511,0,5.83,12.05,63.54,6.17,5.83,36.32,4.32,12.05,20.4,29.26,51.36,0,6,0,344.5,189.53,188,10,158.289,158.178298716,11,0,2,0,1,2,328.12,328.26,344.5,353.58,328.12,328.26,344.5,353.58,29.26,32.08,29.26,32.08
CCCCN1CCNCC1,2,2,1,0,0,372.43,309.0,63.43,359.39,13.05,372.43,309.0,63.43,359.39,13.05,372.43,309.0,63.43,359.39,13.05,372.43,309.0,63.43,359.39,13.05,372.43,309.0,63.43,359.39,13.05,8,2,18.09,2.02,28,0,0,0,4,0,1,1,1,1,323,6,5.79,12.12,56.71,6.08,5.79,28.44,3.57,12.12,17.81,15.27,44.62,6,3,6,292.7,161.53,133,9,142.246,142.146998588,10,0,2,1,1,1,309.0,303.77,292.7,295.0,309.0,303.77,292.7,295.0,15.27,19.85,15.27,19.85
CC(N)CN,2,2,0,0,0,230.49,187.33,43.16,210.6,19.89,230.49,187.33,43.16,210.6,19.89,230.49,187.33,43.16,210.6,19.89,230.49,187.33,43.16,210.6,19.89,230.49,187.33,43.16,210.6,19.89,3,2,8.94,2.54,14,0,0,0,5,1,0,2,4,0,28,0,5.26,7.7,32.01,3.94,5.26,20.85,3.11,7.7,9.32,52.04,22.29,0,1,0,150.33,86.05,18,2,74.127,74.08439833,5,0,2,0,2,2,187.33,185.05,150.33,160.16,187.33,185.05,150.33,160.16,52.04,55.28,52.04,55.28
CC(N)CN,2,2,0,0,0,230.49,187.33,43.16,210.6,19.89,230.49,187.33,43.16,210.6,19.89,230.49,187.33,43.16,210.6,19.89,230.49,187.33,43.16,210.6,19.89,230.49,187.33,43.16,210.6,19.89,3,2,8.94,2.54,14,0,0,0,5,1,0,2,4,0,28,0,5.26,7.7,32.01,3.94,5.26,20.85,3.11,7.7,9.32,52.04,22.29,0,1,0,150.33,86.05,18,2,74.127,74.08439833,5,0,2,0,2,2,187.33,185.05,150.33,160.16,187.33,185.05,150.33,160.16,52.04,55.28,52.04,55.28
CC(N)CN,2,2,0,0,0,230.49,187.33,43.16,210.6,19.89,230.49,187.33,43.16,210.6,19.89,230.49,187.33,43.16,210.6,19.89,230.49,187.33,43.16,210.6,19.89,230.49,187.33,43.16,210.6,19.89,3,2,8.94,2.54,14,0,0,0,5,1,0,2,4,0,28,0,5.26,7.7,32.01,3.94,5.26,20.85,3.11,7.7,9.32,52.04,22.29,0,1,0,150.33,86.05,18,2,74.127,74.08439833,5,0,2,0,2,2,187.33,185.05,150.33,160.16,187.33,185.05,150.33,160.16,52.04,55.28,52.04,55.28
CC1CNCCN1,2,2,1,0,0,263.43,226.54,36.88,247.47,15.96,263.43,226.54,36.88,247.47,15.96,263.43,226.54,36.88,247.47,15.96,263.43,226.54,36.88,247.47,15.96,263.43,226.54,36.88,247.47,15.96,5,2,11.94,1.82,19,0,0,0,1,1,1,2,2,1,71,6,5.83,8.31,39.3,4.11,5.83,24.43,3.48,8.31,12.27,24.06,29.87,6,0,6,195.51,109.84,42,5,100.165,100.100048394,7,0,2,1,2,2,226.54,221.13,195.51,198.21,226.54,221.13,195.51,198.21,24.06,28.64,24.06,28.64
CC1CNCCN1,2,2,1,0,0,263.43,226.54,36.88,247.47,15.96,263.43,226.54,36.88,247.47,15.96,263.43,226.54,36.88,247.47,15.96,263.43,226.54,36.88,247.47,15.96,263.43,226.54,36.88,247.47,15.96,5,2,11.94,1.82,19,0,0,0,1,1,1,2,2,1,71,6,5.83,8.31,39.3,4.11,5.83,24.43,3.48,8.31,12.27,24.06,29.87,6,0,6,195.51,109.84,42,5,100.165,100.100048394,7,0,2,1,2,2,226.54,221.13,195.51,198.21,226.54,221.13,195.51,198.21,24.06,28.64,24.06,28.64
CC1CNCCN1,2,2,1,0,0,263.43,226.54,36.88,247.47,15.96,263.43,226.54,36.88,247.47,15.96,263.43,226.54,36.88,247.47,15.96,263.43,226.54,36.88,247.47,15.96,263.43,226.54,36.88,247.47,15.96,5,2,11.94,1.82,19,0,0,0,1,1,1,2,2,1,71,6,5.83,8.31,39.3,4.11,5.83,24.43,3.48,8.31,12.27,24.06,29.87,6,0,6,195.51,109.84,42,5,100.165,100.100048394,7,0,2,1,2,2,226.54,221.13,195.51,198.21,226.54,221.13,195.51,198.21,24.06,28.64,24.06,28.64
